,id,title
0,278,The Shawshank Redemption
1,238,The Godfather
2,240,The Godfather Part II
3,424,Schindler's List
4,389,12 Angry Men
5,129,Spirited Away
6,19404,Dilwale Dulhania Le Jayenge
7,155,The Dark Knight
8,497,The Green Mile
9,496243,Parasite
10,680,Pulp Fiction
11,372058,Your Name.
12,122,The Lord of the Rings: The Return of the King
13,13,Forrest Gump
14,769,GoodFellas
15,429,"The Good, the Bad and the Ugly"
16,346,Seven Samurai
17,12477,Grave of the Fireflies
18,11216,Cinema Paradiso
19,637,Life Is Beautiful
20,157336,Interstellar
21,550,Fight Club
22,1084736,The Count of Monte-Cristo
23,539,Psycho
24,667257,Impossible Things
25,598,City of God
26,696374,Gabriel's Inferno
27,510,One Flew Over the Cuckoo's Nest
28,120,The Lord of the Rings: The Fellowship of the Ring
29,311,Once Upon a Time in America
30,40096,A Dog's Will
31,704264,Primal: Tales of Savagery
32,372754,Dou kyu sei – Classmates
33,14537,Harakiri
34,4935,Howl's Moving Castle
35,324857,Spider-Man: Into the Spider-Verse
36,121,The Lord of the Rings: The Two Towers
37,1160164,TAYLOR SWIFT | THE ERAS TOUR
38,1058694,Radical
39,724089,Gabriel's Inferno: Part II
40,1891,The Empire Strikes Back
41,255709,Hope
42,761053,Gabriel's Inferno: Part III
43,378064,A Silent Voice: The Movie
44,244786,Whiplash
45,423,The Pianist
46,807,Se7en
47,27205,Inception
48,569094,Spider-Man: Across the Spider-Verse
49,620249,The Legend of Hei
50,567,Rear Window
51,568332,Taylor Swift: Reputation Stadium Tour
52,274,The Silence of the Lambs
53,73,American History X
54,12493,High and Low
55,128,Princess Mononoke
56,1139087,Once Upon a Studio
57,820067,The Quintessential Quintuplets Movie
58,105,Back to the Future
59,92321,Hotarubi no Mori e
60,15804,A Brighter Summer Day
61,10494,Perfect Blue
62,599,Sunset Boulevard
63,207,Dead Poets Society
64,18491,Neon Genesis Evangelion: The End of Evangelion
65,101,Léon: The Professional
66,914,The Great Dictator
67,644479,Dedicated to my ex
68,3782,Ikiru
69,3082,Modern Times
70,335,Once Upon a Time in the West
71,901,City Lights
72,28,Apocalypse Now
73,77338,The Intouchables
74,1585,It's a Wonderful Life
75,975,Paths of Glory
76,533514,Violet Evergarden: The Movie
77,637920,Miracle in Cell No. 7
78,10376,The Legend of 1900
79,652837,"Josee, the Tiger and the Fish"
80,10376,The Legend of 1900
81,527641,Five Feet Apart
82,42269,We All Loved Each Other So Much
83,447362,Life in a Year
84,995133,"The Boy, the Mole, the Fox and the Horse"
85,630566,Clouds
86,25237,Come and See
87,8587,The Lion King
88,29259,Le Trou
89,670,Oldboy
90,283566,Evangelion: 3.0+1.0 Thrice Upon a Time
91,299534,Avengers: Endgame
92,299536,Avengers: Infinity War
93,490132,Green Book
94,508965,Klaus
95,265177,Mommy
96,572154,Rascal Does Not Dream of a Dreaming Girl
97,110420,Wolf Children
98,504253,I Want to Eat Your Pancreas
99,618344,Justice League Dark: Apokolips War
100,315162,Puss in Boots: The Last Wish
101,441130,Wolfwalkers
102,24188,Il Sorpasso
103,16869,Inglourious Basterds
104,603,The Matrix
105,98,Gladiator
106,857,Saving Private Ryan
107,290098,The Handmaiden
108,635302,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train
109,694,The Shining
110,354912,Coco
111,50014,The Help
112,16672,Woman in the Dunes
113,37257,Witness for the Prosecution
114,284,The Apartment
115,361743,Top Gun: Maverick
116,1124,The Prestige
117,11,Star Wars
118,11324,Shutter Island
119,522924,The Art of Racing in the Rain
120,522924,The Art of Racing in the Rain
121,324786,Hacksaw Ridge
122,185,A Clockwork Orange
123,654299,Out of the Clear Blue Sky
124,476292,Maquia: When the Promised Flower Blooms
125,5156,Bicycle Thieves
126,610892,Violet Evergarden: Eternity and the Auto Memory Doll
127,490,The Seventh Seal
128,313106,Doctor Who: The Day of the Doctor
129,797,Persona
130,629,The Usual Suspects
131,92060,Michael Jackson's Thriller
132,26451,Investigation of a Citizen Above Suspicion
133,68718,Django Unchained
134,77,Memento
135,18148,Tokyo Story
136,620683,My Mom Is a Character 3
137,10098,The Kid
138,20334,The Shop Around the Corner
139,592350,My Hero Academia: Heroes Rising
140,537061,Steven Universe: The Movie
141,81481,Silenced
142,810693,Jujutsu Kaisen 0
143,426,Vertigo
144,1026227,There's Still Tomorrow
145,1422,The Departed
146,111,Scarface
147,693134,Dune: Part Two
148,872,Singin' in the Rain
149,289,Casablanca
150,422,8½
151,489,Good Will Hunting
152,1398,Stalker
153,348,Alien
154,475557,Joker
155,606856,Togo
156,517814,Capernaum
157,399106,Piper
158,133919,Scenes from a Marriage
159,20941,Innocent Voices
160,791373,Zack Snyder's Justice League
161,37165,The Truman Show
162,103,Taxi Driver
163,133919,Scenes from a Marriage
164,614,Wild Strawberries
165,458220,Palmer
166,406997,Wonder
167,398818,Call Me by Your Name
168,20914,My Friends
169,600,Full Metal Jacket
170,470044,The Hate U Give
171,9702,Bound by Honor
172,508442,Soul
173,55823,The Great War
174,518068,Along with the Gods: The Last 49 Days
175,500,Reservoir Dogs
176,19,Metropolis
177,600354,The Father
178,100,"Lock, Stock and Two Smoking Barrels"
179,575813,Better Days
180,935,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb
181,531428,Portrait of a Lady on Fire
182,843,In the Mood for Love
183,280,Terminator 2: Judgment Day
184,411088,The Invisible Guest
185,38288,I corti
186,996,Double Indemnity
187,762975,Purple Hearts
188,663558,New Gods: Nezha Reborn
189,666,Central Station
190,46738,Incendies
191,38,Eternal Sunshine of the Spotless Mind
192,103663,The Hunt
193,664767,Mortal Kombat Legends: Scorpion's Revenge
194,24382,Big Deal on Madonna Street
195,11878,Yojimbo
196,146233,Prisoners
197,655,"Paris, Texas"
198,239,Some Like It Hot
199,20532,Sansho the Bailiff
200,705,All About Eve
201,555604,Guillermo del Toro's Pinocchio
202,149871,The Tale of The Princess Kaguya
203,3780,Red Beard
204,406,La Haine
205,12445,Harry Potter and the Deathly Hallows: Part 2
206,755812,"Miraculous World: New York, United HeroeZ"
207,532067,KONOSUBA – God's blessing on this wonderful world! Legend of Crimson
208,10681,WALL·E
209,387,Das Boot
210,439,La Dolce Vita
211,2457,Children of Paradise
212,832,M
213,872585,Oppenheimer
214,548,Rashomon
215,838240,Robot Dreams
216,640344,Me Against You: Mr. S's Vendetta
217,397567,Along with the Gods: The Two Worlds
218,7345,There Will Be Blood
219,4348,Pride & Prejudice
220,11659,The Best of Youth
221,831827,Far from the Tree
222,550776,Believe Me: The Abduction of Lisa McVey
223,472454,Ayla: The Daughter of War
224,21634,Prayers for Bobby
225,62,2001: A Space Odyssey
226,11645,Ran
227,359940,"Three Billboards Outside Ebbing, Missouri"
228,522518,A Dog's Journey
229,334543,Lion
230,8392,My Neighbor Totoro
231,992,Sherlock Jr.
232,437068,A Taxi Driver
233,11423,Memories of Murder
234,1091,The Thing
235,381284,Hidden Figures
236,8422,Rocco and His Brothers
237,638507,How to Train Your Dragon: Homecoming
238,42229,A Special Day
239,785534,Paper Lives
240,7347,Elite Squad
241,120467,The Grand Budapest Hotel
242,823754,Bo Burnham: Inside
243,1000492,All Your Faces
244,538362,On My Skin
245,800,The Young and the Damned
246,906126,Society of the Snow
247,821,Judgment at Nuremberg
248,310569,The Second Mother
249,147,The 400 Blows
250,31439,To Live
251,26022,My Name Is Khan
252,400928,Gifted
253,1955,The Elephant Man
254,106646,The Wolf of Wall Street
255,204,The Wages of Fear
256,582,The Lives of Others
257,279,Amadeus
258,9277,The Sting
259,610461,"Veinteañera, divorciada y fantástica"
260,515001,Jojo Rabbit
261,264644,Room
262,673,Harry Potter and the Prisoner of Azkaban
263,938,For a Few Dollars More
264,641,Requiem for a Dream
265,14,American Beauty
266,678580,El mesero
267,43949,Flipped
268,895,Andrei Rublev
269,521,Dial M for Murder
270,12761,Autumn Sonata
271,962232,Beyond the Universe
272,526702,Black Beauty
273,347688,Scooby-Doo! and KISS: Rock and Roll Mystery
274,780,The Passion of Joan of Arc
275,337404,Cruella
276,55960,"Toto, Peppino, and the Hussy"
277,15,Citizen Kane
278,28178,Hachi: A Dog's Tale
